"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT","BLOCK","LOT","EASEMENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"2","BATHGATE","01 ONE FAMILY DWELLINGS","1","3028","24","","A1","410 EAST 179TH STREET","","10457","1","0","1","1,842","2,048","1901","1","A1","655,000","11/1/2022"
"2","BATHGATE","01 ONE FAMILY DWELLINGS","1","3030","66","","A1","4453 PARK AVENUE","","10457","1","0","1","1,646","1,497","1899","1","A1","215,000","4/18/2023"
"2","BATHGATE","01 ONE FAMILY DWELLINGS","1","3030","66","","A1","4453 PARK AVENUE","","10457","1","0","1","1,646","1,497","1899","1","A1","570,000","8/23/2023"
"2","BATHGATE","01 ONE FAMILY DWELLINGS","1","3035","52","","A1","461 EAST 178 STREET","","10457","1","0","1","1,782","1,548","1899","1","A1","0","4/14/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","2904","22","","B9","454 EAST 172 STREET","","10457","2","0","2","1,658","1,428","1901","1","B9","350,000","6/26/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","2904","22","","B9","454 EAST 172ND STREET","","10457","2","0","2","1,658","1,428","1901","1","B9","310,000","8/14/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","2912","118","","B1","1540 WASHINGTON AVENUE","","10457","2","0","2","2,000","2,400","1993","1","B1","740,000","12/14/2022"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","2912","144","","B1","3813 3 AVENUE","","10457","2","0","2","2,000","2,400","1993","1","B1","763,000","9/7/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","2912","151","","B1","519 EAST 171 STREET","","10457","2","0","2","2,000","2,400","1993","1","B1","750,000","5/18/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","2929","114","","B1","3854 3 AVENUE","","10457","2","0","2","2,883","2,394","1995","1","B1","815,000","6/7/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","2929","121","","B1","1567 FULTON","","10457","2","0","2","3,225","2,394","1995","1","B1","0","12/14/2022"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3034","40","","B1","1935 WASHINGTON AVENUE","","10457","2","0","2","2,242","2,136","1995","1","B1","773,800","11/3/2022"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3035","139","","B1","1985 WASHINGTON AVENUE","","10457","2","0","2","2,910","2,340","1998","1","B1","750,000","7/14/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3036","63","","B1","457 EAST 179TH STREET","","10457","2","0","2","2,000","2,340","1998","1","B1","0","3/22/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3037","3","","B2","4386 PARK AVENUE","","10457","2","0","2","1,144","2,889","1899","1","B2","150,000","12/14/2022"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3037","4","","B2","4388 PARK AVENUE","","10457","2","0","2","2,275","1,548","1899","1","B2","150,000","12/14/2022"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3038","22","","B1","460 E 183RD","","10458","2","0","2","1,485","1,536","1910","1","B1","710,000","12/22/2022"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3039","106","","B1","442 EAST 185 STREET","","10458","2","0","2","1,500","2,400","1997","1","B1","698,700","7/28/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3040","15","","B2","462 E 187TH ST","","10458","2","0","2","1,642","1,820","1910","1","B2","0","6/7/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3045","16","","B3","2060 BATHGATE AVENUE","","10457","2","0","2","1,429","1,872","1910","1","B3","650,000","6/2/2023"
"2","BATHGATE","02 TWO FAMILY DWELLINGS","1","3045","17","","B2","2064 BATHGATE AVENUE","","10457","2","0","2","3,493","2,508","1910","1","B2","693,500","8/17/2023"
"2","BATHGATE","03 THREE FAMILY DWELLINGS","1","3031","145","","C0","412 EAST 187","","10458","3","0","3","1,784","2,302","2004","1","C0","900,000","10/26/2023"
"2","BATHGATE","03 THREE FAMILY DWELLINGS","1","3037","67","","C0","460 EAST 182 STREET","","10457","3","0","3","2,000","3,744","1899","1","C0","10","11/7/2022"
"2","BATHGATE","03 THREE FAMILY DWELLINGS","1","3041","6","","C0","4686 PARK AVENUE","","10458","3","0","3","1,404","3,900","2004","1","C0","0","7/3/2023"
"2","BATHGATE","03 THREE FAMILY DWELLINGS","1","3041","9","","C0","448 CYRUS PLACE","","10458","3","0","3","2,500","1,960","1910","1","C0","620,000","9/12/2023"
"2","BATHGATE","03 THREE FAMILY DWELLINGS","1","3044","31","","C0","1989 BATHGATE","","10457","3","0","3","2,085","2,801","2000","1","C0","0","6/20/2023"
"2","BATHGATE","03 THREE FAMILY DWELLINGS","1","3047","7","","C0","2118 WASHINGTON AVE","","10457","3","0","3","1,633","3,273","1901","1","C0","0","12/21/2022"
"2","BATHGATE","05 TAX CLASS 1 VACANT LAND","1B","3036","34","","V0","2089 WASHINGTON AVENUE","","10457","0","0","0","2,006","0","","1","V0","67,500","11/18/2022"
"2","BATHGATE","05 TAX CLASS 1 VACANT LAND","1B","3037","74","","V0","N/A WASHINGTON AVENUE","","10457","0","0","0","1,250","0","","1","V0","10","3/16/2023"
"2","BATHGATE","05 TAX CLASS 1 VACANT LAND","1B","3048","3","","V0","2160 BATHGATE AVENUE","","10457","0","0","0","2,600","0","","1","V0","607,340","2/16/2023"
"2","BATHGATE","05 TAX CLASS 1 VACANT LAND","1B","3048","4","","V0","2162 BATHGATE AVENUE","","10457","0","0","0","2,634","0","","1","V0","607,340","2/16/2023"
"2","BATHGATE","07 RENTALS - WALKUP APARTMENTS","2B","2899","42","","C7","1764 WEBSTER AVENUE","","10457","7","1","8","2,053","7,477","1931","2","C7","0","2/10/2023"
