"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT","BLOCK","LOT","EASEMENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6360","56","","A5","30 BAY 10TH STREET","","11228","1","0","1","1,547","1,428","1930","1","A5","0","7/31/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6360","68","","A5","58 BAY 10TH STREET","","11228","1","0","1","1,547","1,428","1930","1","A5","925,000","8/3/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6362","23","","A9","43 BAY 11TH STREET","","11228","1","0","1","2,280","1,052","1901","1","A9","825,000","3/31/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6367","42","","S1","1730 86TH STREET","","11214","1","1","2","1,342","1,920","1926","1","S1","1,505,000","4/21/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6367","43","","S1","1732 86TH STREET","","11214","1","1","2","1,342","1,920","1926","1","S1","1,650,000","9/8/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6408","19","","A2","111 BAY 23RD STREET","","11214","1","0","1","3,458","1,184","1899","1","A2","0","4/26/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6409","38","","A9","102 BAY 25TH STREET","","11214","1","0","1","1,740","1,382","1915","1","A9","680,000","8/9/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6410","21","","A1","123 BAY 25TH STREET","","11214","1","0","1","2,900","1,776","1920","1","A1","0","4/13/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6412","6","","S1","2113 BATH AVENUE","","11214","1","1","2","901","1,462","1930","1","S1","765,000","5/12/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6431","9","","A5","1633 CROPSEY AVENUE","","11214","1","0","1","1,536","1,562","1930","1","A5","900,000","7/17/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6431","38","","S1","1628 BATH AVENUE","","11214","1","1","2","1,305","2,610","1910","1","S1","999,000","5/25/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6431","39","","S1","1628B BATH AVENUE","","11214","1","1","2","986","1,972","1910","1","S1","820,000","9/22/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6431","57","","A5","202 BAY 14TH STREET","","11214","1","0","1","2,015","1,458","1910","1","A5","900,000","6/6/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6442","36","","S0","2024 BATH AVENUE","","11214","1","2","3","1,200","2,160","1925","1","S0","1,200,000","4/17/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6444","8","","A5","217 BAY 26TH STREET","","11214","1","0","1","1,740","1,674","1955","1","A5","620,000","4/27/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6460","103","","A5","283 BAY 10TH STREET","","11228","1","0","1","1,740","1,629","1955","1","A5","0","9/20/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6460","217","","A5","8876 16TH AVENUE","","11214","1","0","1","1,760","992","1950","1","A5","800,000","8/30/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6461","123","","A5","296 BAY 14TH STREET","","11214","1","0","1","1,943","992","1950","1","A5","800,000","10/13/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6461","124","","A5","298 BAY 14TH STREET","","11214","1","0","1","1,555","992","1950","1","A5","650,000","8/4/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6461","199","","A5","8893 16TH AVENUE","","11214","1","0","1","2,355","1,240","1940","1","A5","1,190,000","9/8/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6461","233","","A5","250 BAY 13TH STREET","","11214","1","0","1","1,648","928","1945","1","A5","0","2/14/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6463","78","","A5","8896 18TH AVENUE","","11214","1","0","1","1,372","992","1950","1","A5","0","6/9/2023"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6466","78","","A5","232 BAY 23RD STREET","","11214","1","0","1","1,980","1,320","1945","1","A5","820,000","11/1/2022"
"3","BATH BEACH","01 ONE FAMILY DWELLINGS","1","6466","83","","A5","244 BAY 23RD STREET","","11214","1","0","1","6,157","1,320","1945","1","A5","0","9/21/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6357","13","","B1","8649 14TH AVENUE","","11228","2","0","2","2,320","2,160","1930","1","B1","1,340,000","12/21/2022"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6358","18","","B1","35 BAY 7TH STREET","","11228","2","0","2","2,320","2,160","1930","1","B1","0","12/16/2022"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6358","46","","B1","38 BAY 8TH STREET","","11228","2","0","2","2,320","2,160","1930","1","B1","1,450,000","1/3/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6358","57","","B1","70 BAY 8TH STREET","","11228","2","0","2","2,320","2,160","1930","1","B1","0","3/27/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6359","22","","B1","35 BAY 8TH STREET","","11228","2","0","2","2,320","2,160","1930","1","B1","1,538,000","7/19/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6359","30","","B1","11 BAY 8TH STREET","","11228","2","0","2","1,948","2,160","1930","1","B1","1,520,000","7/11/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6359","53","","B1","8636 15TH AVENUE","","11228","2","0","2","2,320","2,160","1930","1","B1","0","1/6/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6359","55","","B1","8642 15TH AVENUE","","11228","2","0","2","2,320","2,160","1930","1","B1","1,250,000","1/5/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6360","5","","B1","1513 BENSON AVENUE","","11228","2","0","2","2,142","1,920","1945","1","B1","0","11/11/2022"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6360","6","","B1","1509 BENSON AVE","","11228","2","0","2","2,142","1,920","1945","1","B1","0","3/7/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6360","17","","B3","8657 15TH AVENUE","","11228","2","0","2","1,547","1,428","1930","1","B3","950,000","1/27/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6360","61","","B3","44 BAY 10TH STREET","","11228","2","0","2","1,547","1,428","1930","1","B3","0","3/16/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6360","72","","B3","66 BAY 10TH STREET","","11228","2","0","2","1,547","1,428","1930","1","B3","0","2/10/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6363","55","","B3","28 BAY 13TH STREET","","11214","2","0","2","2,167","2,592","1920","1","B3","1,720,000","8/25/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6364","54","","B2","24 BAY 14TH STREET","","11214","2","0","2","2,753","1,606","1930","1","B2","1,268,000","4/28/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6364","65","","B1","52 BAY 14TH STREET","","11214","2","0","2","2,167","3,072","1901","1","B1","0","5/15/2023"
"3","BATH BEACH","02 TWO FAMILY DWELLINGS","1","6365","24","","B9","37 BAY 14TH STREET","","11214","2","0","2","2,763","1,600","1955","1","B9","0","3/21/2023"
