"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT","BLOCK","LOT","EASEMENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"1","ALPHABET CITY","02 TWO FAMILY DWELLINGS","1","372","36","","S2","19 AVENUE D","","10009","2","1","3","826","2,481","1900","1","S2","1","1/20/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","390","50","","C1","209 EAST 7TH STREET, 3E","","10009","29","0","29","3,900","18,099","1900","2","C1","154,196","9/15/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","390","50","","C1","209 EAST 7TH STREET, 4E","","10009","29","0","29","3,900","18,099","1900","2","C1","154,196","9/15/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2A","390","60","","C2","191 EAST 7TH STREET","","10009","5","0","5","1,080","3,328","1910","2","C2","2,725,000","8/10/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","396","4","","C4","221 AVENUE B","","10009","8","1","9","1,936","5,538","1904","2","C4","10","3/31/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","397","38","","C7","6 AVENUE B","","10009","10","1","11","1,819","7,995","1900","2","C7","1,050,000","1/27/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","397","38","","C7","6 AVENUE B","","10009","10","1","11","1,819","7,995","1900","2","C7","7,800,000","9/29/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","399","49","","C4","177 EAST 3RD STREET","","10009","10","0","10","2,380","6,636","1900","2","C4","10,800,000","6/20/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","399","50","","C4","175 EAST 3RD STREET","","10009","8","2","10","2,380","6,825","1900","2","C4","10,800,000","6/20/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","400","60","","C4","195 EAST 4TH STREET","","10009","18","0","18","2,404","8,975","1913","2","C4","5,750,000","3/22/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B","402","44","","C4","543 EAST 6 STREET","","10009","8","1","9","1,820","7,083","1930","2","C4","3,250,000","7/14/2023"
"1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","406","56","","C7","517 EAST 12TH STREET","","10009","16","2","18","2,581","7,230","1900","2","C7","0","1/18/2023"
"1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2","387","124","","D1","630 EAST 6TH STREET","","10009","40","0","40","6,025","11,418","1900","2","D1","0","3/31/2023"
"1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","46","","C6","317 EAST 3 STREET, 2","","10009","","","","","","1925","2","C6","555,000","12/20/2022"
