"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT","BLOCK","LOT","EASEMENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5391","40","","A1","551 OAKDALE STREET","","10312","1","0","1","10,000","3,904","1980","1","A1","0","8/2/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5396","41","","A1","21 TALLMAN STREET","","10312","1","0","1","9,968","3,940","1990","1","A1","1,275,000","3/17/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5398","20","","A1","1468 ARDEN AVENUE","","10312","1","0","1","5,000","2,200","1940","1","A1","1,050,000","6/6/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5401","42","","A2","265 HAROLD AVENUE","","10312","1","0","1","8,190","2,100","1980","1","A2","385,000","2/16/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5402","17","","A2","6 WEAVER STREET","","10312","1","0","1","10,500","2,278","1980","1","A2","0","12/27/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5403","4","","A2","260 SHIRLEY AVENUE","","10312","1","0","1","7,500","1,600","1970","1","A2","0","7/18/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5404","35","","A2","95 LENZIE STREET","","10312","1","0","1","7,500","1,328","1930","1","A2","743,000","7/10/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5406","21","","A1","1660 ARDEN AVENUE","","10312","1","0","1","5,000","1,680","1960","1","A1","640,000","4/10/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5425","29","","A1","1740 ARDEN AVENUE","","10312","1","0","1","4,250","1,052","1925","1","A1","440,000","6/20/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5425","42","","A1","27 SANDGAP STREET","","10312","1","0","1","5,000","1,950","1910","1","A1","840,000","5/1/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","5426","16","","A6","14 SANDGAP STREET","","10312","1","0","1","2,500","612","1915","1","A6","250,000","12/21/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6205","109","","A5","56 MAY PLACE","","10312","1","0","1","2,475","2,395","1986","1","A5","730,000","9/11/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6205","115","","A5","44 MAY PLACE","","10312","1","0","1","2,475","2,495","1986","1","A5","750,000","6/7/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6205","121","","A5","32 MAY PLACE","","10312","1","0","1","2,475","2,495","1986","1","A5","760,000","11/10/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6211","34","","A5","100 SEGUINE PLACE","","10312","1","0","1","1,550","1,521","1986","1","A5","15,000","2/13/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6212","32","","A5","18 LUCY LOOP","","10312","1","0","1","2,320","1,500","2000","1","A5","0","4/12/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6214","33","","A5","48 EAGAN AVENUE","","10312","1","0","1","2,400","1,368","2000","1","A5","630,000","12/27/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6214","52","","A2","86 EAGAN AVENUE","","10312","1","0","1","10,000","1,056","1955","1","A2","0","12/20/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6219","16","","A5","94 LORRAIN AVE","","10312","1","0","1","1,650","1,700","2004","1","A5","300,000","7/14/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6220","30","","A5","18 LORRAINE AVENUE","","10312","1","0","1","16,541","1,344","2002","1","A5","700,000","3/7/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6222","38","","A5","45 LORRAINE AVENUE","","10312","1","0","1","2,400","1,500","2004","1","A5","670,000","3/27/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6226","22","","A2","744 ANNADALE RD","","10312","1","0","1","5,640","1,024","1925","1","A2","0","11/9/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6227","59","","A1","920 CARLTON BOULEVARD","","10312","1","0","1","4,000","1,272","1930","1","A1","720,000","1/5/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6228","25","","A0","158 EDGEGROVE AVENUE","","10312","1","0","1","4,000","938","1950","1","A0","0","4/12/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6228","27","","A1","154 EDGEGROVE AVENUE","","10312","1","0","1","8,000","1,915","1935","1","A1","0","4/12/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6228","61","","A2","147 DETROIT AVENUE","","10312","1","0","1","8,000","840","1920","1","A2","0","4/12/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6230","33","","A2","634 DRUMGOOLE ROAD EAST","","10312","1","0","1","8,000","1,056","1930","1","A2","450,000","6/28/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6230","35","","A1","630 DRUMGOOLE ROAD EAST","","10312","1","0","1","8,000","2,460","1960","1","A1","0","10/11/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6235","50","","A1","185 SHELDON AVE","","10312","1","0","1","6,000","2,024","1960","1","A1","0","8/2/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6237","7","","A1","419 JEFFERSON BOULEVARD","","10312","1","0","1","10,000","3,056","1960","1","A1","0","9/12/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6237","31","","A2","194 VINELAND AVENUE","","10312","1","0","1","4,000","1,952","1970","1","A2","680,000","12/19/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6239","47","","A2","630 WOODROW ROAD","","10312","1","0","1","5,760","2,744","1980","1","A2","850,000","6/12/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6240","46","","A1","4901 AMBOY ROAD","","10312","1","0","1","4,250","1,628","1924","1","A1","820,000","10/5/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6243","55","","A1","57 MOSELY AVENUE","","10312","1","0","1","5,500","1,028","1920","1","A1","500,000","12/16/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6243","58","","A1","49 MOSELY AVENUE","","10312","1","0","1","5,500","1,592","1920","1","A1","0","7/25/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1B","6245","6","","V0","4983 AMBOY ROAD","","10312","1","0","1","8,700","0","1960","1","A2","500,000","8/3/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6245","15","","A2","5001 AMBOY ROAD","","10312","1","0","1","8,360","988","1960","1","A2","679,000","6/2/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6245","145","","A1","22 HILLIS STREET","","10312","1","0","1","4,905","2,739","1960","1","A1","850,000","12/9/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6246","36","","A1","16 FURMAN STREET","","10312","1","0","1","10,600","2,404","1978","1","A1","0","11/12/2022"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6247","37","","A1","1033 ANNADALE ROAD","","10312","1","0","1","4,470","1,578","1925","1","A1","0","1/26/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6249","207","","A1","1014 ANNADALE ROAD","","10312","1","0","1","33,530","2,324","1955","1","A1","2,525,000","2/9/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6249","257","","A2","152 NORTH PINE TERRACE","","10312","1","0","1","4,000","1,584","1965","1","A2","575,000","4/3/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6249","416","","A2","918 ANNADALE ROAD","","10312","1","0","1","4,715","1,575","1965","1","A2","0","3/1/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6249","431","","A1","884 ANNADALE ROAD","","10312","1","0","1","13,367","1,800","1930","1","A1","0","5/19/2023"
"5","ANNADALE","01 ONE FAMILY DWELLINGS","1","6249","434","","A2","882 ANNADALE ROAD","","10312","1","0","1","12,969","952","1945","1","A2","0","5/19/2023"
